,headline
1085,I’m a 73-Year-Old Cancer Survivor. Can I Accept A Kidney?
1087,N0 Exp3r13nc3? N0 pr0bl3m!
1088,A Lynching’s Long Shadow
1089,"First You Buy A Ticket, Then You Get Provoked"
1090,Coal Country Run for the Senate. No Apologies.
1091,Supreme Court Signals Support For a Travel Ban
1092,Giving Voice  To the Victims  Of Racist Terror
1094,The Strong and Stressed Black Woman
1096,The Secret to Magic Mornings? Put the Kids to Work
1098,How Strenuous Exercise Affects Our Immune System
1099,Diabetes Self-Care Courses Can Come With Sticker Shock
1100,‘You never see that point of view in mainstream press.’
1101,Danish Inventor Is Found Guilty in Gruesome Killing of Journalist
1103,"$2.5 Million Homes in New York, California and Georgia"
1105,House Hunting in … France
1106,"Conquering Lucia, Crazy as It Seems"
1107,Trusting   The Joke’s Not on Her
1110,So the South’s White Terror Will Never Be Forgotten
1113,Pruitt’s Plan of Defense: Lay the Blame on Others
1114,My Rapidly Disappearing Inheritance
1115,"Saying Hello to Amazon, and Higher Rents"
1117,Track’s Hormone Hurdle for Women
1118,When States Deny Dignity to Black Citizens
1119,Common Pain Relievers Beat Opioids for Dental Pain Relief
1120,Swindled on Facebook By Fake Marks and Sheryls
1121,"‘The Handmaid’s Tale’ Season 2, Episodes 1 and 2: The Limits of Mercy"
1123,Why Does Trump Treat Immigrant Kids Cruelly? Because He Can
1124,"Behind an Assassination in Malaysia, Israeli-Palestinian Intrigue"
1126,"A Martyr, Sane And Sensible"
1127,With Respect to an Answer’s Location
1128,"Overlooked No More: Maria Bochkareva, Who Led Women Into Battle in WWI"
1129,"‘The Americans’ Season 6, Episode 5 Recap: The End Game Is Here"
1130,Breakdancing
1131,"For This Artist, It’s All About the Action"
1132,Are You Intimidated by Classical Music and Art?
1133,The Era of Very Low Inflation and Interest Rates May Be Near an End
1134,36 Hours in Copenhagen
1135,Wave of Red Surges Into Arizona and Colorado
1136,Fed Officials Worry Economy Is Too Good. Workers Still Feel Left Behind.
1137,"For ‘The Karate Kid,’ a Grudge Rematch"
1139,A Life’s One Last Chance
1140,"Once a Leader of a Revolution,  Now the Target of an Uprising    "
1141,The Supreme Court and the New Civil War
1142,Meet the New Boss. Actually Quite Different From the Old Boss.
1143,"Bush 41, Trump, and American Decline"
1144,Some L.G.B.T. Parents Reject the Names ‘Mommy’ and ‘Daddy’
1146,Isolated Office Hid V.A. Pick From Scrutiny
1150,How Old Are Home Buyers?
1151,Terraces to Look At and Linger On
1152,"Merkel Is Next to Visit Trump, but a Lavish Welcome Mat Won’t Be Out"
1154,"From the Savory Side, the Salty Carricantes of Sicily"
1155,Your Next Lesson: Fiano
1156,Modern Russian Dumplings That Nod to the Past
1157,Tea Leaves Still Signal Democratic Edge in Battle for House Control
1158,Genealogy Site Led to the Suspect’s Front Door
1159,Teaching With: ‘Watch How a Pop Hit is Made.’
1160,The White Rebellion
1162,"Tiny Tots, Heavy Weights"
1163,"Unreserved Hawk Is Confirmed as Top Diplomat, With Votes to Spare"
1164,The Best Italian Subs — at Least in Australia
1165,"Games of Squash, Without the Ceiling"
1167,Jury Finds Cosby Guilty In a Sexual Assault Case Seen as a Turning Point
1168,"Dress Codes, Anti-Bias Training, Standardized Tests and Smiles: Our Favorite Student Comments of the Week"
1169,Rift in Britain and Abroad on Care of Brain-Damaged Baby
1170,Former Judge to Review Files Seized in Searches
1171,When Misogynists Become Terrorists
1172,"Dear Abby, #MeToo"
1173,Leaders of Two Koreas Meet
1174,Caffeine During Pregnancy Tied to Overweight Offspring
1175,A Modern-Day Myth for Women on the Verge
1176,Bill Cosby Shares a Few Words With the Prosecutor in Court
1177,Seeking Street Smarts
1178,A Reckoning for Cosby — Now for Others?
1179,Trump’s War  On the Poor
1180,"About That Wrongdoing, Pruitt Says, I Didn’t Do It"
1181,Golden State Killer’s Victims: The Families Who Never Gave Up Hope
1182,The Jury Finally Believes the Women
1183,"Barflies, Clinging to Pipe Dreams and Other Lies"
1184,"For Many, Life on Team Trump Ends in a Crash"
1185,Comic’s Sick Joke: Warm TV Dad
1187,Hit After Hit
1188,"‘Atlanta’ Season 2, Episode 9: Al Is Ready for a Change"
1190,What the Mona Lisa Tells Us About Art in the Instagram Era
1191,"A Meeting Short on Details, but Long on Theater"
1192,Public Square
1193,Two Koreas Unite in Goal To Banish Nuclear Weapons Nuclear Weapons
1194,Trevor Noah Jabs Trump for Not Buying Melania a Birthday Gift
1195,"Teaching Activities for: ‘For Thousands of ‘Dreamers,’ It Has Been a Wild Ride. And It’s Not Over Yet.’"
1196,Board Members Beware
1197,How an Air-Conditioning Project Turns Heated
1198,How Alike Are You and Your Friends?
1199,The Year I Learned to Quit
1200,The Tale of a Corporate Spy
1201,Diary of a Co-op Board President
1202,Slowed Growth  In the Economy  May Be a Blip
1203,"Before Driving Off Cliff, Hart Family Left a Trail Of Cruelty and Abuse"
1204,Stepping Outside the Dollhouse
1205,Is Alkaline Water Really Better for You?
1206,"The World Owes One to France, Big Time"
1207,The Teachers’ Revolt Spreads to Arizona
1208,"To Beat Trump, Build A Better Biden"
1210,The Disease Game
1212,Lawyer Who Offered Dirt on Clinton Is Tied To a Kremlin Official
1215,This House Is Smart. Maybe a Little Too Smart.
1217,Surefire Winner? Certain Bust? Let the Debates Begin
1218,Two Reports on Meddling:  Choose Your Own Verdict
1219,A Financial Bill of Rights
1221,A Guide to What’s Happening in North Korea
1222,Plan to Storm Fence Gets Bloody Preview in Gaza
1224,Merger Said To Be Close For T-Mobile And Sprint
1226,"Paid More Than His Boss, or Even His Boss’s Boss"
1227,#MeToo Becomes #YouToo
1228,Nicaraguan Students in Revolt Now Face More Daunting Task
1229,"Tracking Graft, From the Bootlegger to the Mayor"
1230,Kim Sells A Peace Bridge
1231,Yipes! They Canned the Chaplain
1232,Good Going!
1233,Anxiety in G.O.P.  As Trump Scoffs  At Midterm Risks
1234,Early Clues Placed Serial Killer Near the Police
1236,"Women at Nike  Revolt, Forcing  Change at Last"
1237,"Against a Global Populist Tide, A Pope Is Remaking the Church"
1238,Why Trump Supporters Don’t Mind His Lies
1239,Trump: Our Cartoon Nobel Laureate
1240,An Open Letter to Justice Kennedy
1241,Alfie Evans and the Experts
1242,I Want to Be Rich  And I’m Not Sorry
1243,The Extinction of Gay Identity
1244,The End of Intelligence
1245,Did I Choose the Wrong College?
1247,Kim Says He’d End Nuclear Pursuit For a U.S. Truce
1249,Press Dinner’s Comedy Act Sets Off Furor
1250,Telecom Giants To Try Merging A Second Time
1251,"Tappan Zee Will Live On, Among Fluke and Porgies"
1252,"150 Migrants Reach Border, Testing Trump"
1253,Allies Brace For Trade War As Deadline Draws Near
1254,It’s O.K. to Play in the Street
1255,Learning the Lessons of Seattle
1256,True-Blue Liberals Turn Race In Ohio Into 2020 Proxy Test
1257,And Underwear for All
1258,What Kind of Potatoes?
1259,A Doug Jones for Tennessee. Maybe.
1260,"For Young Gazan at the Fence, Living or Dying Is the ‘Same Thing’"
1262,Transgender Ban’s Problem — Facts
1263,An Overdue Reckoning for Apu
1264,"Disarmament, Nuclear Deterrents And the Fall of Libya"
1265,Battle Was Always Uphill To Get Gun Laws Passed
1267,"‘Billions’ Season 3, Episode 6 Recap: Eat or Be Eaten"
1268,"‘Trust’ Season 1, Episode 6 Recap: A Dead Body Focuses the Mind"
1269,"After Snow-Laden Nightmare, New Rules for Flights to J.F.K."
1270,When Your Team Is 15 Minutes From Dying
1271,The Deadliest Day for Journalists in Afghanistan Since at Least 2002
1272,"Fearing Death, and Photographing the Rituals That Surround It"
1273,A Book of Emails Women Love to Hate
1274,The Opaque World of Ownership by L.L.C.
1275,Worried About Risky Teenage Behavior? Make School Tougher
1276,They Survived a Massacre. Then Lawyers Started Calling.
1277,"What’s Going On in This Picture? | April 30, 2018"
1279,Sex and Shame: What Incels and Jihadists Have in Common
1282,"On Being an Orphan, Frequently"
1285,Teaching Activities for: ‘Kim Prepared to Cede Nuclear Weapons if U.S. Pledges Not to Invade’
1288,"Ditch the Wheelchair, or Find a New Place"
1289,Tokyo in Texas: Distinctive Japanese Food Is Thriving in Austin
1290,"After Working a Flight, Home to ‘Crew Gardens’"
1291,Does the Ending of ‘Avengers: Infinity War’ Spoil Itself?
1293,A Documenter of Afghan Victims Becomes One
1294,Parenting the Fortnite Addict
1296,Philosophy Pays Off
1297,Disappearances Highlight the Military’s Role in Mexico’s Drug War
1298,Israel Says Secret Documents Detail Iran’s Atomic Subterfuge
1300,God Save the Q
1301,Let’s Look Inside
1302,How’s That Tax Cut Working Out?
1303,Border Standoff Eases As U.S. Officials Allow Eight to Seek Asylum
1304,The Place That Assumes Beauty
1305,Another Telecom Mega-Merger
1306,"Facebook Tightens Privacy Policy, and App Makers Are Feeling the Pinch"
1307,Truth vs. Power In the Russia Investigation
1308,‘It Couple’ Ride Trump Wave Dividing the G.O.P.
1309,U.S. Delaying Start of Tariffs For Key Allies
1310,U.S. May Limit Access for Chinese Researchers
1311,Sheldon Silver Retrial Revisits Fraud Case
1312,Gig Economy Dealt a Blow By a Ruling In California
1313,Cardinal Faces Trial On Charges Of Sex Abuse
1314,"The Questions, With Context"
1315,Questions for President Show Depth of Inquiry Into Russian Meddling
1316,Watch Out for the Obstacles
1317,A Competitive Team Sport. For Your Dog.
1318,"Dear Match Book: Fiction that Takes Us Back to Our Roots//Lush Historical Fiction, Rooted in Nature//Novels Steeped in Nature and History//Ancient History Reimagined//Jurassic Classics//"
1319,This Common Question Reinforces the Gender Pay Gap
1320,"Anna, Llama and Me"
1321,Gen. Michael Hayden Has One Regret: Russia
1322,There Is Nothin’ Like a Tune
0,Finding an Expansive View  of a Forgotten People in Niger
1,"And Now,  the Dreaded Trump Curse"
2,Venezuela’s Descent Into Dictatorship
8,Mouse Infestation
14,Pick Your Favorite Ethical Offender
17,Trump  Needs  a Brain
25,A Virtuoso Rebuilding Act Requires Everyone in Tune
26,"‘Homeland,’ Season 6, Episode 11: Is Quinn Just a Natural Killer?"
30,"‘Billions’ Season 2, Episode 7: Greed Is Good. Except When It’s Not."
32,"What’s Going On in This Picture? | April 3, 2017"
36,A Cornerstone of Peace at Risk
37,Trump Is  Wimping Out on Trade
38,The Dwindling Odds of Coincidence
39,What Was Lenin Thinking?
41,Mitch McConnell’s Trigger Finger
43,Good News for Older Mothers
45,Turning Negative Thinkers Into Positive Ones
46,New York Today: A Belated Budget
48,Democrats’ Vow to Bar Gorsuch Sets Up a Clash
51,"A Revered Milwaukee Restaurant, Karl Ratzsch, Says Goodbye"
54,22 Ways to Teach and Learn About Poetry With The New York Times
55,In Search of King Solomon’s Pantry
57,Going Back to Move Forward
58,A Peek Into the White House Swamp
61,Justice Dept. to Re-examine Police Accords
62,"This Year, Their Year"
63,Latest Health Proposal Weakens Coverage for Pre-existing Conditions
64,Losing Things
65,Let’s Go for a Win on Opioids
67,How to End the Politicization of the Courts
68,When Dr. King Came Out Against Vietnam
71,Questions for: ‘No License Plates Here: Using Art to Transcend Prison Walls’
74,Dry Spell
75,"Are There Subjects That Should Be Off-Limits to Artists, or to Certain Artists in Particular?"
76,‘That Is Great Television’
78,How Gorsuch’s Influence Could Be Greater Than His Vote
87,A National Civics Exam
95,The Supreme Court as Partisan Tool
96,2 Picks for Education Dept. Raise Fears on Civil Rights
97,"For Trump, a Focus on U.S. Interests and a Disdain for Moralizing"
100,The Badger and the Cow
101,"Jared Kushner, Man of Steel"
102,A How-to Book for Wielding Civic Power
103,In Search of a Good Emperor
104,Trump’s Real-World Syria Lesson
107,Ben Sasse Thinks Biden Would’ve Won
108,What Is Your Earliest Memory?
109,The Secularist
110,Is It O.K. That Our Friends Are Constantly Suing People?
111,The Diva Departs
112,It Takes a Suburb
114,How to Be Mindful When You Are Angry
115,Lessons From Mellow Mice
116,Ask Well; Is Chewing Gum Good for Toddlers? Or Anyone?
118,Our Eighth Annual Found Poem Student Contest
122,Pepsi Drops Ad Accused of Trivializing Protesters
124,Bannon Removed From Committee on U.S. Security
125,The Hawk Can Soar
128,Groups Seek Court’s Aid in Banning a Pesticide
132,"As Latest Health Plan Dies, Republicans Can’t Agree on a Culprit"
136,Fashion Has You Covered
137,It Only Takes a Small Army to Equal Arnie
138,The Role of Public Broadcasting
139,What Have You Learned From a Younger Person — and What Have You Taught An Older Person?
140,"How I Angered My  Readers, Again"
141,Creeping Toward Crisis
142,The Great Mistake in the Great War
143,Trump Bets the House
146,Questions for: ‘Haley Says U.S. May ‘Take Our Own Action’ on Syrian Chemical Attack’
149,Berliner Fernsehturm
150,Improving On the Original
151,Reader Stories
154,New York Today: The City and the Great War
158,Heart of the Amazon
159,When ‘Mrs.’ Became ‘Ms.’
161,Dieting: Yo-Yo Diets and Heart Risk
164,Simple Taiwanese Food From a Doting Mama
166,"New Beaujolais, but Not Nouveau"
168,"To Feel Really American, Try Some Velveeta"
169,"Fighting Eviction, a Gardener Turns to Organic Industry Giants for Help"
172,Fingers Crossed Across Generations
173,"What Do Donald Trump, Bill O’Reilly and Roger Ailes Have in Common?"
175,Rock Music
178,"Youth, Crowds, Goals: Germany Aims to Keep It That Way"
183,Should More Student Journalists Have Independent Editorial Control?
184,The Ghost at the Bar
186,Borrowers Bewildered
188,Friday Mailbag: Senate Votes and Museum Drama
189,Teaching With: ‘Animated Life: Mary Leakey’
191,What a Muppet With Autism Means to My Family
192,Do Preschool Teachers Really Need to Be College Graduates?
195,New Mexico Outlaws School ‘Lunch Shaming’
198,The Riddle of Trump’s Syria Attack
200,Court Nominee Is Confirmed After Bruising Yearlong Fight
201,A Disquieting Silence
202,Near-Zero Interest Rates: Get Used to Them
203,A Slice of Ambrosia (and That’s Just the Filling)
207,"After the Airstrikes, What’s Next?"
208,"Romance, Sarcasm, Math and Language"
209,Who Can Put an End to Those Endless Tunes and Endless Fumes?
210,Share PTA Aid? Some Parents  Would Rather Split Up District
213,Variety Puzzle: Marching Bands
215,"Clinton, Free to Speak Her Mind"
216,The Passion of Southern Christians
217,Up Against the Wall
218,What Happened to Who?
222,Offbeat Approach to Covering Sports 
226,Words of Self-Empowerment
231,Same Old Sergio Delights Crowd With New Script
233,‘Feud: Bette and Joan’ Episode 6 Recap: Midnight Descending
237,The Gig Economy’s False Promise
239,Publicity Stunts  Aren’t Policy
240,The Road  to Trump’s  War
243,Alabama Governor Resigns and Pleads Guilty Amid a Sex Scandal
245,"He Led the Yankees to 4 Titles. Now, Can He Revive Them?"
247,Our Parents’ Heart Health Mistakes
248,"Rude Doctors, Rude Nurses, Rude Patients"
254,Learning Russian From ‘Boris Badenov’
255,High Drama About the High Court
256,"In Highlight for President, Gorsuch Is Sworn In as Court’s 113th Justice"
257,Deployment of U.S. Carrier Masks a Lack of Better Options on North Korea
262,A Leaderboard With European Panache
265,The Next Messi? A Young Argentine Turns Heads
266,The Dalai Lama’s Blessing
268,"Many Voices on Syria Policy, but One Is Silent"
270,Founded in 1945
271,‘Better Call Saul’ Season 3 Premiere: Danglin’ Jimmy
273,New York’s Transit Apocalypse
274,This Age of Wonkery
275,Is Putin Testing Trump?
276,The Baby Boomer War
280,The Corrections
281,Six Trade-Offs  in the Riddle  of Tax Reform
285,À La Française in Harlem
287,"Mark Hawthorne, a Man of Few Words Except, ‘I Hate You’"
289,White House Says Russia Is Engaged in Covering Up Syrians’ Chemical Attack
290,"Simple, Hot and Abundant"
291,Q&A: How Democrats Can Stop Being Perceived as the Abortion Party
